case\batteri\Staphylococcus aureus
case\batteri\Streptococcus pyogenes
case\batteri\Escherichia coli
case\batteri\Klebsiella pneumoniae
case\batteri\Proteus mirabilis
case\batteri\Pseudomonas aeruginosa
case\batteri\Enterococcus faecalis
case\batteri\Acinetobacter baumannii
case\batteri\Bacillus cereus
case\batteri\Clostridium difficile
automobili\batteri\Staphylococcus aureus
automobili\batteri\Staphylococcus epidermidis
automobili\batteri\Bacillus cereus
automobili\batteri\Bacillus subtilis
automobili\batteri\Micrococcus lylae
automobili\batteri\Streptococcus mitis
automobili\batteri\Streptococcus oralis
automobili\batteri\Enterococcus faecalis
automobili\batteri\Pseudomonas aeruginosa
automobili\batteri\Escherichia coli
ospedali\batteri\Staphylococcus aureus
ospedali\batteri\Staphylococcus epidermidis
ospedali\batteri\Escherichia coli
ospedali\batteri\Klebsiella pneumoniae
ospedali\batteri\Pseudomonas aeruginosa
ospedali\batteri\Acinetobacter baumannii
ospedali\batteri\Enterococcus faecalis
ospedali\batteri\Enterococcus faecium
ospedali\batteri\Proteus mirabilis
ospedali\batteri\Serratia marcescens
ambulanze\batteri\Staphylococcus aureus
ambulanze\batteri\Methicillin-resistant Staphylococcus aureus
ambulanze\batteri\Streptococcus pyogenes
ambulanze\batteri\Pseudomonas aeruginosa
ambulanze\batteri\Escherichia coli
ambulanze\batteri\Klebsiella pneumoniae
ambulanze\batteri\Proteus mirabilis
ambulanze\batteri\Enterococcus faecalis
ambulanze\batteri\Acinetobacter baumannii
ambulanze\batteri\Streptococcus pneumoniae
case-di-riposo\batteri\Staphylococcus aureus
case-di-riposo\batteri\Escherichia coli
case-di-riposo\batteri\Klebsiella pneumoniae
case-di-riposo\batteri\Pseudomonas aeruginosa
case-di-riposo\batteri\Proteus mirabilis
case-di-riposo\batteri\Enterococcus faecalis
case-di-riposo\batteri\Streptococcus pyogenes
case-di-riposo\batteri\Coagulase-negative Staphylococci
case-di-riposo\batteri\Acinetobacter baumannii
case-di-riposo\batteri\Enterobacter species
cliniche-dentistiche\batteri\Streptococcus mutans
cliniche-dentistiche\batteri\Streptococcus sobrinus
cliniche-dentistiche\batteri\Porphyromonas gingivalis
cliniche-dentistiche\batteri\Tannerella forsythia
cliniche-dentistiche\batteri\Treponema denticola
cliniche-dentistiche\batteri\Fusobacterium nucleatum
cliniche-dentistiche\batteri\Prevotella intermedia
cliniche-dentistiche\batteri\Peptostreptococcus anaerobius
cliniche-dentistiche\batteri\Eikenella corrodens
cliniche-dentistiche\batteri\Actinomyces israelii
cliniche-veterinarie\batteri\Staphylococcus pseudintermedius
cliniche-veterinarie\batteri\Escherichia coli
cliniche-veterinarie\batteri\Streptococcus canis
cliniche-veterinarie\batteri\Proteus mirabilis
cliniche-veterinarie\batteri\Pasteurella multocida
cliniche-veterinarie\batteri\Klebsiella pneumoniae
cliniche-veterinarie\batteri\Enterococcus faecalis
cliniche-veterinarie\batteri\Pseudomonas aeruginosa
cliniche-veterinarie\batteri\Methicillin-resistant Staphylococcus aureus
cliniche-veterinarie\batteri\Acinetobacter baumannii
scuole\batteri\Staphylococcus aureus
scuole\batteri\Streptococcus pyogenes
scuole\batteri\Haemophilus influenzae
scuole\batteri\Neisseria meningitidis
scuole\batteri\Moraxella catarrhalis
scuole\batteri\Escherichia coli
scuole\batteri\Klebsiella pneumoniae
scuole\batteri\Proteus mirabilis
scuole\batteri\Pseudomonas aeruginosa
scuole\batteri\Serratia marcescens
asili\batteri\Staphylococcus aureus
asili\batteri\Streptococcus pyogenes
asili\batteri\Haemophilus influenzae
asili\batteri\Moraxella catarrhalis
asili\batteri\Neisseria meningitidis
asili\batteri\Escherichia coli
asili\batteri\Klebsiella pneumoniae
asili\batteri\Proteus mirabilis
asili\batteri\Enterococcus faecalis
asili\batteri\Streptococcus pneumoniae
bagni-pubblici\batteri\Staphylococcus aureus
bagni-pubblici\batteri\Streptococcus spp.
bagni-pubblici\batteri\Escherichia coli
bagni-pubblici\batteri\Klebsiella pneumoniae
bagni-pubblici\batteri\Proteus mirabilis
bagni-pubblici\batteri\Pseudomonas aeruginosa
bagni-pubblici\batteri\Enterococcus spp.
bagni-pubblici\batteri\Serratia marcescens
bagni-pubblici\batteri\Acinetobacter baumannii
bagni-pubblici\batteri\Citrobacter spp.
cinema\batteri\Staphylococcus aureus
cinema\batteri\Streptococcus pyogenes
cinema\batteri\Escherichia coli
cinema\batteri\Pseudomonas aeruginosa
cinema\batteri\Klebsiella pneumoniae
cinema\batteri\Proteus mirabilis
cinema\batteri\Enterococcus faecalis
cinema\batteri\Acinetobacter baumannii
cinema\batteri\Bacillus cereus
cinema\batteri\Clostridium difficile
teatri\batteri\Staphylococcus aureus
teatri\batteri\Staphylococcus epidermidis
teatri\batteri\Streptococcus pyogenes
teatri\batteri\Enterococcus faecalis
teatri\batteri\Escherichia coli
teatri\batteri\Klebsiella pneumoniae
teatri\batteri\Proteus mirabilis
teatri\batteri\Pseudomonas aeruginosa
teatri\batteri\Acinetobacter baumannii
teatri\batteri\Bacillus cereus
alberghi\batteri\Staphylococcus aureus
alberghi\batteri\Staphylococcus epidermidis
alberghi\batteri\Enterococcus faecalis
alberghi\batteri\Enterococcus faecium
alberghi\batteri\Escherichia coli
alberghi\batteri\Klebsiella pneumoniae
alberghi\batteri\Proteus mirabilis
alberghi\batteri\Pseudomonas aeruginosa
alberghi\batteri\Acinetobacter baumannii
alberghi\batteri\Clostridium difficile
bed-and-breakfast\batteri\Staphylococcus aureus
bed-and-breakfast\batteri\Streptococcus pyogenes
bed-and-breakfast\batteri\Escherichia coli
bed-and-breakfast\batteri\Klebsiella pneumoniae
bed-and-breakfast\batteri\Proteus mirabilis
bed-and-breakfast\batteri\Pseudomonas aeruginosa
bed-and-breakfast\batteri\Enterococcus faecalis
bed-and-breakfast\batteri\Acinetobacter baumannii
bed-and-breakfast\batteri\methicillin-resistant Staphylococcus aureus
bed-and-breakfast\batteri\Clostridioides difficile
mense\batteri\Staphylococcus aureus
mense\batteri\Listeria monocytogenes
mense\batteri\Escherichia coli
mense\batteri\Salmonella enterica
mense\batteri\Bacillus cereus
mense\batteri\Campylobacter jejuni
mense\batteri\Yersinia enterocolitica
mense\batteri\Shigella sonnei
mense\batteri\Vibrio parahaemolyticus
mense\batteri\Streptococcus pyogenes
ristoranti\batteri\Staphylococcus aureus
ristoranti\batteri\Listeria monocytogenes
ristoranti\batteri\Escherichia coli
ristoranti\batteri\Salmonella enterica
ristoranti\batteri\Shigella spp.
ristoranti\batteri\Campylobacter jejuni
ristoranti\batteri\Yersinia enterocolitica
ristoranti\batteri\Vibrio parahaemolyticus
ristoranti\batteri\Bacillus cereus
ristoranti\batteri\Clostridium perfringens
pizzerie\batteri\Staphylococcus aureus
pizzerie\batteri\Listeria monocytogenes
pizzerie\batteri\Escherichia coli
pizzerie\batteri\Salmonella enterica
pizzerie\batteri\Shigella spp.
pizzerie\batteri\Yersinia enterocolitica
pizzerie\batteri\Campylobacter jejuni
pizzerie\batteri\Vibrio parahaemolyticus
pizzerie\batteri\Bacillus cereus
pizzerie\batteri\Clostridium perfringens
bar\batteri\Staphylococcus aureus
bar\batteri\Staphylococcus epidermidis
bar\batteri\Streptococcus spp.
bar\batteri\Enterococcus spp.
bar\batteri\Klebsiella spp.
bar\batteri\Escherichia coli
bar\batteri\Proteus spp.
bar\batteri\Bacillus cereus
bar\batteri\Clostridium perfringens
bar\batteri\Pseudomonas aeruginosa
pasticcerie\batteri\Staphylococcus aureus
pasticcerie\batteri\Streptococcus pyogenes
pasticcerie\batteri\Escherichia coli
pasticcerie\batteri\Salmonella enterica
pasticcerie\batteri\Listeria monocytogenes
pasticcerie\batteri\Bacillus cereus
pasticcerie\batteri\Clostridium perfringens
pasticcerie\batteri\Shigella sonnei
pasticcerie\batteri\Yersinia enterocolitica
pasticcerie\batteri\Campylobacter jejuni
piscine\batteri\Pseudomonas aeruginosa
piscine\batteri\Legionella pneumophila
piscine\batteri\Escherichia coli
piscine\batteri\Staphylococcus aureus
piscine\batteri\Streptococcus pyogenes
piscine\batteri\Klebsiella pneumoniae
piscine\batteri\Proteus mirabilis
piscine\batteri\Shigella sonnei
piscine\batteri\Aeromonas hydrophila
piscine\batteri\Mycobacterium avium
terme\batteri\Geobacillus stearothermophilus
terme\batteri\Thermus aquaticus
terme\batteri\Anoxybacillus flavithermus
terme\batteri\Bacillus licheniformis
terme\batteri\Bacillus subtilis
terme\batteri\Bacillus smithii
terme\batteri\Bacillus coagulans
terme\batteri\Thermoanaerobacter wiegelii
terme\batteri\Desulfotomaculum nigrificans
