application_id\application_name\problem_id\problem_name
0\case\0\Staphylococcus aureus
0\case\1\Escherichia coli
0\case\2\Streptococcus pyogenes
0\case\3\Pseudomonas aeruginosa
0\case\4\Klebsiella pneumoniae
0\case\5\Proteus mirabilis
0\case\6\Clostridium difficile
0\case\7\Salmonella enterica
0\case\8\Shigella dysenteriae
0\case\9\Listeria monocytogenes
0\case\10\Corynebacterium diphtheriae
0\case\11\Neisseria gonorrhoeae
0\case\12\Haemophilus influenzae
0\case\13\Bacillus cereus
0\case\14\Yersinia enterocolitica
0\case\15\Vibrio cholerae
0\case\16\Acinetobacter baumannii
0\case\17\Stenotrophomonas maltophilia
0\case\18\Serratia marcescens
0\case\19\Providencia stuartii
